response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.1841,0.0422,0.0007,0.0001,11.1411,0.0002,200,0.0008
12.0191,0.0450,0.0015,0.0000,11.9739,0.0001,200,0.0006
13.0163,0.0436,0.0011,0.0009,12.9717,0.0001,200,0.0009
13.2644,0.0429,0.0013,0.0000,13.2214,0.0001,200,0.0007
21.1543,0.0448,0.0016,0.0000,21.1094,0.0001,200,0.0007
23.1570,0.0435,0.0011,0.0006,23.1128,0.0001,200,0.0010
24.5554,0.0765,0.0014,0.0001,24.4787,0.0001,200,0.0007
26.8092,0.0755,0.0016,0.0000,26.7335,0.0001,200,0.0006
32.0083,0.0772,0.0011,0.0000,31.9310,0.0001,200,0.0011
35.2894,0.0766,0.0012,0.0000,35.2126,0.0001,200,0.0011
35.9828,0.1282,0.0014,0.0001,35.8543,0.0001,200,0.0008
37.9311,0.0433,0.0011,0.0001,37.8876,0.0001,200,0.0010
42.8611,0.1063,0.0015,0.0000,42.7546,0.0001,200,0.0006
46.6428,0.0773,0.0016,0.0000,46.5653,0.0001,200,0.0004
48.6258,0.1464,0.0014,0.0001,48.4792,0.0001,200,0.0008
49.3861,0.1059,0.0011,0.0001,49.2800,0.0001,200,0.0009
54.1585,0.1292,0.0014,0.0001,54.0291,0.0001,200,0.0007
56.9180,0.0770,0.0016,0.0000,56.8408,0.0001,200,0.0004
57.7793,0.0435,0.0014,0.0001,57.7357,0.0001,200,0.0006
58.1128,0.1488,0.0017,0.0001,57.9638,0.0001,200,0.0004
