response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
26.6828,0.0233,0.0014,0.0001,26.6592,0.0001,200,0.0005
27.0168,0.0564,0.0014,0.0001,26.9602,0.0001,200,0.0006
29.0469,0.0574,0.0011,0.0010,28.9884,0.0001,200,0.0008
29.2021,0.0586,0.0014,0.0002,29.1431,0.0001,200,0.0004
52.7210,0.0574,0.0011,0.0012,52.6624,0.0001,200,0.0007
52.9593,0.0898,0.0007,0.0001,52.8694,0.0001,200,0.0011
53.4917,0.0238,0.0008,0.0001,53.4677,0.0001,200,0.0011
53.6188,0.0583,0.0009,0.0001,53.5603,0.0000,200,0.0008
79.7828,0.0921,0.0008,0.0001,79.6905,0.0001,200,0.0009
82.3199,0.0594,0.0011,0.0000,82.2604,0.0001,200,0.0007
83.7866,0.0813,0.0014,0.0001,83.7050,0.0002,200,0.0004
83.7862,0.1020,0.0008,0.0001,83.6840,0.0001,200,0.0009
104.5625,0.0572,0.0008,0.0000,104.5051,0.0001,200,0.0010
113.5350,0.0227,0.0003,0.0001,113.5121,0.0001,200,0.0013
114.1483,0.1103,0.0009,0.0001,114.0378,0.0001,200,0.0008
114.5385,0.0903,0.0012,0.0000,114.4481,0.0001,200,0.0006
120.8478,0.0887,0.0006,0.0001,120.7589,0.0001,200,0.0012
133.3708,0.1099,0.0006,0.0001,133.2607,0.0001,200,0.0012
133.4184,0.0560,0.0008,0.0000,133.3622,0.0001,200,0.0011
133.4826,0.1295,0.0011,0.0000,133.3530,0.0001,200,0.0007
