response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.5881,0.0392,0.0010,0.0001,11.5487,0.0001,200,0.0008
19.8340,0.0405,0.0015,0.0001,19.7932,0.0001,200,0.0003
28.3661,0.0561,0.0012,0.0001,28.3099,0.0001,200,0.0009
36.2843,0.0282,0.0015,0.0000,36.2558,0.0001,200,0.0004
44.2743,0.0597,0.0009,0.0001,44.2144,0.0001,200,0.0009
52.2076,0.0807,0.0015,0.0000,52.1267,0.0001,200,0.0006
60.6081,0.0279,0.0014,0.0001,60.5799,0.0001,200,0.0007
68.9659,0.0606,0.0011,0.0000,68.9051,0.0001,200,0.0010
76.8522,0.0941,0.0013,0.0001,76.7580,0.0001,200,0.0007
84.7053,0.0787,0.0010,0.0001,84.6264,0.0001,200,0.0008
92.6515,0.0553,0.0014,0.0000,92.5959,0.0001,200,0.0005
100.7108,0.1023,0.0015,0.0001,100.6084,0.0001,200,0.0006
108.7012,0.0565,0.0015,0.0000,108.6445,0.0001,200,0.0005
116.5052,0.0880,0.0010,0.0000,116.4171,0.0001,200,0.0010
124.8504,0.1122,0.0015,0.0000,124.7381,0.0001,200,0.0006
132.8220,0.0833,0.0011,0.0000,132.7386,0.0001,200,0.0008
140.6627,0.0625,0.0010,0.0000,140.6000,0.0001,200,0.0008
148.3507,0.1250,0.0011,0.0001,148.2255,0.0001,200,0.0007
155.8994,0.0295,0.0007,0.0000,155.8698,0.0001,200,0.0010
163.3823,0.1050,0.0010,0.0001,163.2772,0.0001,200,0.0009
