response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
27.5481,0.0428,0.0012,0.0008,27.5043,0.0002,200,0.0009
27.5897,0.0428,0.0012,0.0000,27.5467,0.0001,200,0.0010
27.6432,0.0619,0.0018,0.0000,27.5812,0.0001,200,0.0007
27.7774,0.0430,0.0016,0.0007,27.7335,0.0001,200,0.0008
54.5556,0.0420,0.0015,0.0001,54.5133,0.0001,200,0.0004
54.7268,0.0436,0.0013,0.0000,54.6831,0.0001,200,0.0010
54.8703,0.0758,0.0012,0.0000,54.7944,0.0001,200,0.0010
55.8438,0.0749,0.0012,0.0000,55.7687,0.0001,200,0.0009
80.9619,0.0953,0.0018,0.0000,80.8663,0.0001,200,0.0005
81.1936,0.0841,0.0014,0.0000,81.1093,0.0001,200,0.0007
81.2668,0.0427,0.0012,0.0001,81.2239,0.0001,200,0.0009
81.9629,0.0627,0.0012,0.0001,81.9000,0.0001,200,0.0010
107.4120,0.1037,0.0013,0.0000,107.3082,0.0001,200,0.0010
108.0325,0.1086,0.0012,0.0000,107.9237,0.0001,200,0.0011
109.0581,0.0763,0.0014,0.0000,108.9818,0.0001,200,0.0007
109.4255,0.0438,0.0009,0.0001,109.3816,0.0001,200,0.0011
133.2556,0.0448,0.0014,0.0000,133.2107,0.0001,200,0.0008
133.5466,0.1085,0.0016,0.0001,133.4379,0.0001,200,0.0009
133.5874,0.1283,0.0012,0.0001,133.4590,0.0001,200,0.0010
133.6591,0.0765,0.0019,0.0000,133.5823,0.0001,200,0.0004
