response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.1062,0.0612,0.0016,0.0001,9.0446,0.0001,200,0.0004
9.1288,0.0622,0.0016,0.0000,9.0662,0.0001,200,0.0003
9.1333,0.0409,0.0013,0.0001,9.0922,0.0001,200,0.0010
9.3672,0.0421,0.0013,0.0000,9.3250,0.0001,200,0.0010
17.8042,0.0421,0.0012,0.0001,17.7620,0.0001,200,0.0009
17.8352,0.0821,0.0011,0.0000,17.7528,0.0001,200,0.0009
17.9320,0.0411,0.0015,0.0005,17.8903,0.0000,200,0.0007
18.1397,0.0751,0.0013,0.0000,18.0644,0.0001,200,0.0009
26.3610,0.0943,0.0017,0.0000,26.2665,0.0001,200,0.0006
26.6020,0.0415,0.0013,0.0001,26.5603,0.0001,200,0.0008
26.6799,0.0408,0.0011,0.0000,26.6390,0.0001,200,0.0011
26.8194,0.1131,0.0015,0.0001,26.7061,0.0000,200,0.0007
35.1845,0.0754,0.0017,0.0001,35.1088,0.0001,200,0.0005
35.3701,0.0273,0.0011,0.0001,35.3418,0.0001,200,0.0003
35.4514,0.0886,0.0015,0.0000,35.3626,0.0001,200,0.0008
35.5956,0.0474,0.0015,0.0001,35.5481,0.0000,200,0.0008
43.8796,0.1093,0.0015,0.0001,43.7701,0.0001,200,0.0007
43.9907,0.0674,0.0009,0.0000,43.9232,0.0001,200,0.0012
43.9955,0.1457,0.0011,0.0000,43.8497,0.0000,200,0.0010
44.0335,0.1267,0.0011,0.0001,43.9066,0.0001,200,0.0011
