response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
19.1292,0.0628,0.0010,0.0000,19.0662,0.0002,200,0.0012
21.4910,0.0439,0.0008,0.0001,21.4469,0.0001,200,0.0009
22.6360,0.0386,0.0007,0.0001,22.5972,0.0001,200,0.0010
22.7142,0.0446,0.0014,0.0005,22.6690,0.0000,200,0.0004
31.4901,0.0445,0.0011,0.0001,31.4454,0.0001,200,0.0008
35.0526,0.0445,0.0011,0.0000,35.0080,0.0001,200,0.0007
41.1143,0.0778,0.0014,0.0000,41.0363,0.0001,200,0.0006
41.3406,0.0771,0.0009,0.0000,41.2634,0.0001,200,0.0012
44.4558,0.0477,0.0013,0.0001,44.4078,0.0001,200,0.0003
50.7387,0.0671,0.0011,0.0000,50.6715,0.0001,200,0.0008
52.9377,0.0868,0.0008,0.0001,52.8506,0.0001,200,0.0012
59.0287,0.0774,0.0011,0.0000,58.9512,0.0001,200,0.0009
62.0544,0.0451,0.0003,0.0000,62.0091,0.0001,200,0.0013
62.5231,0.0969,0.0013,0.0000,62.4261,0.0001,200,0.0007
65.7261,0.1182,0.0008,0.0000,65.6078,0.0001,200,0.0013
72.4037,0.0764,0.0011,0.0001,72.3271,0.0001,200,0.0008
76.9697,0.0428,0.0008,0.0000,76.9268,0.0001,200,0.0010
79.4280,0.0983,0.0008,0.0001,79.3295,0.0001,200,0.0011
79.4963,0.1360,0.0008,0.0001,79.3602,0.0001,200,0.0013
81.2139,0.1165,0.0008,0.0001,81.0973,0.0001,200,0.0012
