response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.8938,0.0293,0.0014,0.0001,14.8642,0.0002,200,0.0011
15.8036,0.0420,0.0014,0.0001,15.7613,0.0001,200,0.0012
15.8608,0.0425,0.0016,0.0000,15.8180,0.0001,200,0.0004
15.8776,0.0490,0.0014,0.0000,15.8284,0.0001,200,0.0010
29.1462,0.0758,0.0016,0.0000,29.0702,0.0001,200,0.0007
31.9637,0.0431,0.0009,0.0002,31.9202,0.0001,200,0.0012
31.9759,0.0777,0.0017,0.0001,31.8980,0.0001,200,0.0003
32.0906,0.0436,0.0013,0.0000,32.0468,0.0001,200,0.0009
33.8421,0.0624,0.0017,0.0001,33.7794,0.0001,200,0.0004
47.5108,0.0756,0.0016,0.0001,47.4350,0.0001,200,0.0009
47.5497,0.0820,0.0014,0.0000,47.4675,0.0001,200,0.0010
47.5565,0.0436,0.0015,0.0000,47.5127,0.0001,200,0.0007
48.1370,0.1022,0.0017,0.0001,48.0346,0.0001,200,0.0008
61.4101,0.0960,0.0016,0.0000,61.3139,0.0001,200,0.0007
61.4100,0.0952,0.0014,0.0001,61.3146,0.0001,200,0.0008
63.1049,0.1154,0.0013,0.0000,62.9893,0.0001,200,0.0011
63.1917,0.0431,0.0013,0.0001,63.1483,0.0002,200,0.0008
72.9125,0.0771,0.0012,0.0001,72.8353,0.0001,200,0.0010
73.6777,0.1350,0.0017,0.0001,73.5423,0.0001,200,0.0003
73.6779,0.1154,0.0014,0.0001,73.5623,0.0001,200,0.0010
