response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.8676,0.0442,0.0016,0.0000,10.8231,0.0002,200,0.0004
10.9720,0.0501,0.0015,0.0000,10.9218,0.0001,200,0.0006
10.9849,0.0297,0.0014,0.0000,10.9551,0.0001,200,0.0007
11.0280,0.0439,0.0016,0.0001,10.9838,0.0001,200,0.0003
20.5815,0.0626,0.0016,0.0000,20.5185,0.0001,200,0.0005
20.7067,0.0766,0.0012,0.0002,20.6298,0.0001,200,0.0010
20.7513,0.0439,0.0013,0.0001,20.7072,0.0001,200,0.0009
20.8232,0.1098,0.0015,0.0002,20.7131,0.0001,200,0.0008
29.2824,0.0765,0.0010,0.0000,29.2057,0.0001,200,0.0010
29.6039,0.0757,0.0014,0.0001,29.5280,0.0001,200,0.0007
29.6555,0.1038,0.0012,0.0000,29.5515,0.0001,200,0.0010
29.8432,0.0437,0.0012,0.0001,29.7993,0.0001,200,0.0010
32.7171,0.1039,0.0013,0.0000,32.6131,0.0001,200,0.0009
39.1901,0.0423,0.0013,0.0001,39.1476,0.0001,200,0.0009
39.2056,0.1237,0.0014,0.0000,39.0817,0.0001,200,0.0007
39.4581,0.1238,0.0013,0.0000,39.3342,0.0001,200,0.0009
39.5034,0.0425,0.0013,0.0000,39.4608,0.0001,200,0.0007
46.4660,0.0759,0.0012,0.0001,46.3900,0.0001,200,0.0008
46.7113,0.1100,0.0016,0.0002,46.6011,0.0000,200,0.0006
46.7550,0.1297,0.0013,0.0000,46.6250,0.0001,200,0.0005
