response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
61.0248,0.0373,0.0012,0.0001,60.9873,0.0001,200,0.0008
62.4560,0.0460,0.0015,0.0000,62.4097,0.0002,200,0.0007
62.7851,0.0467,0.0015,0.0000,62.7383,0.0001,200,0.0007
65.7079,0.0448,0.0009,0.0001,65.6629,0.0001,200,0.0010
124.9003,0.0645,0.0016,0.0001,124.8356,0.0001,200,0.0007
125.8903,0.0459,0.0013,0.0004,125.8440,0.0001,200,0.0009
127.3367,0.0806,0.0015,0.0000,127.2557,0.0001,200,0.0005
129.8857,0.0462,0.0016,0.0001,129.8394,0.0001,200,0.0007
187.2142,0.0653,0.0012,0.0000,187.1488,0.0001,200,0.0009
192.2834,0.0844,0.0012,0.0001,192.1988,0.0001,200,0.0008
192.2836,0.1296,0.0012,0.0001,192.1539,0.0000,200,0.0010
194.4492,0.1131,0.0015,0.0001,194.3357,0.0001,200,0.0005
248.6104,0.0528,0.0012,0.0001,248.5571,0.0004,200,0.0008
257.0262,0.1177,0.0016,0.0000,256.9080,0.0002,200,0.0004
257.6281,0.0916,0.0013,0.0000,257.5364,0.0001,200,0.0009
257.6461,0.0722,0.0012,0.0000,257.5737,0.0001,200,0.0009
310.5762,0.0468,0.0015,0.0001,310.5292,0.0001,200,0.0008
318.6619,0.0778,0.0013,0.0001,318.5839,0.0001,200,0.0008
321.1203,0.1368,0.0012,0.0001,320.9833,0.0001,200,0.0010
321.1512,0.0986,0.0015,0.0001,321.0523,0.0000,200,0.0004
