response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1419,0.0248,0.0014,0.0001,0.1168,0.0001,200,1.0143
0.1627,0.0291,0.0015,0.0001,0.1333,0.0001,200,1.0141
0.1438,0.0000,0.0000,0.0000,0.1437,0.0001,200,2.0142
0.1491,0.0000,0.0000,0.0000,0.1489,0.0001,200,2.0142
0.1515,0.0000,0.0000,0.0000,0.1513,0.0001,200,3.0143
0.1515,0.0000,0.0000,0.0001,0.1514,0.0000,200,3.0143
0.1437,0.0000,0.0000,0.0000,0.1436,0.0001,200,4.0142
0.1478,0.0000,0.0000,0.0001,0.1476,0.0001,200,4.0142
0.1472,0.0000,0.0000,0.0000,0.1470,0.0001,200,5.0141
0.1473,0.0000,0.0000,0.0000,0.1472,0.0000,200,5.0141
0.1521,0.0000,0.0000,0.0000,0.1520,0.0000,200,6.0143
0.1521,0.0000,0.0000,0.0000,0.1520,0.0001,200,6.0143
0.1404,0.0000,0.0000,0.0000,0.1402,0.0001,200,7.0143
0.1434,0.0000,0.0000,0.0000,0.1432,0.0001,200,7.0143
0.1480,0.0000,0.0000,0.0001,0.1478,0.0001,200,8.0143
0.1480,0.0000,0.0000,0.0000,0.1479,0.0000,200,8.0143
0.1453,0.0000,0.0000,0.0000,0.1452,0.0001,200,9.0142
0.1455,0.0000,0.0000,0.0000,0.1453,0.0000,200,9.0142
0.1462,0.0000,0.0000,0.0000,0.1460,0.0001,200,10.0142
0.1485,0.0000,0.0000,0.0000,0.1484,0.0001,200,10.0142
0.1258,0.0000,0.0000,0.0000,0.1256,0.0001,200,11.0143
0.1459,0.0000,0.0000,0.0001,0.1457,0.0001,200,11.0143
0.1459,0.0000,0.0000,0.0000,0.1457,0.0001,200,12.0143
0.1459,0.0000,0.0000,0.0000,0.1458,0.0001,200,12.0143
0.1501,0.0000,0.0000,0.0000,0.1500,0.0001,200,13.0142
0.1502,0.0000,0.0000,0.0000,0.1500,0.0001,200,13.0142
0.1347,0.0000,0.0000,0.0001,0.1345,0.0001,200,14.0143
0.1420,0.0000,0.0000,0.0000,0.1419,0.0001,200,14.0143
0.1184,0.0000,0.0000,0.0000,0.1183,0.0001,200,15.0142
0.1400,0.0000,0.0000,0.0001,0.1399,0.0001,200,15.0143
0.1499,0.0000,0.0000,0.0000,0.1498,0.0001,200,16.0143
0.1537,0.0000,0.0000,0.0000,0.1536,0.0001,200,16.0144
0.1401,0.0000,0.0000,0.0000,0.1399,0.0001,200,17.0143
0.1442,0.0000,0.0000,0.0000,0.1441,0.0001,200,17.0143
0.1495,0.0000,0.0000,0.0000,0.1493,0.0002,200,18.0143
0.1553,0.0000,0.0000,0.0000,0.1552,0.0001,200,18.0143
0.1490,0.0000,0.0000,0.0000,0.1489,0.0001,200,19.0144
0.1491,0.0000,0.0000,0.0000,0.1490,0.0000,200,19.0143
0.1449,0.0000,0.0000,0.0000,0.1448,0.0001,200,20.0143
0.1469,0.0000,0.0000,0.0000,0.1468,0.0001,200,20.0143
0.1533,0.0000,0.0000,0.0000,0.1532,0.0001,200,21.0143
0.1542,0.0000,0.0000,0.0000,0.1541,0.0000,200,21.0142
0.1477,0.0000,0.0000,0.0000,0.1476,0.0001,200,22.0142
0.1499,0.0000,0.0000,0.0000,0.1498,0.0000,200,22.0141
0.1479,0.0000,0.0000,0.0000,0.1477,0.0001,200,23.0140
0.1479,0.0000,0.0000,0.0000,0.1478,0.0001,200,23.0141
0.1473,0.0000,0.0000,0.0000,0.1470,0.0001,200,24.0142
0.1473,0.0000,0.0000,0.0000,0.1472,0.0000,200,24.0142
0.1481,0.0000,0.0000,0.0000,0.1480,0.0000,200,25.0143
