response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1744,0.0347,0.0013,0.0001,0.1394,0.0001,200,1.0042
0.2618,0.0474,0.0013,0.0001,0.2141,0.0001,200,1.0040
0.2651,0.0665,0.0011,0.0000,0.1985,0.0001,200,1.0043
0.3325,0.0350,0.0011,0.0001,0.2971,0.0001,200,1.0040
0.3683,0.0337,0.0012,0.0001,0.3345,0.0001,200,1.0042
0.4046,0.0485,0.0011,0.0001,0.3559,0.0001,200,1.0043
0.4490,0.0537,0.0009,0.0000,0.3950,0.0001,200,1.0043
0.4590,0.0857,0.0011,0.0001,0.3731,0.0001,200,1.0042
0.0629,0.0000,0.0000,0.0000,0.0628,0.0001,200,2.0046
0.1354,0.0000,0.0000,0.0000,0.1353,0.0001,200,2.0038
0.1362,0.0000,0.0000,0.0000,0.1361,0.0001,200,2.0041
0.3421,0.0000,0.0000,0.0001,0.3419,0.0001,200,2.0039
0.3513,0.0000,0.0000,0.0000,0.3512,0.0000,200,2.0046
0.3978,0.0000,0.0000,0.0000,0.3977,0.0001,200,2.0048
0.4030,0.0000,0.0000,0.0000,0.4028,0.0001,200,2.0047
0.4313,0.0000,0.0000,0.0000,0.4312,0.0000,200,2.0046
0.1135,0.0000,0.0000,0.0000,0.1134,0.0001,200,3.0042
0.1416,0.0000,0.0000,0.0000,0.1415,0.0001,200,3.0042
0.2442,0.0000,0.0000,0.0000,0.2441,0.0001,200,3.0042
0.2485,0.0000,0.0000,0.0000,0.2483,0.0001,200,3.0041
0.2537,0.0000,0.0000,0.0000,0.2535,0.0001,200,3.0041
0.2547,0.0000,0.0000,0.0000,0.2546,0.0001,200,3.0043
0.2552,0.0000,0.0000,0.0000,0.2551,0.0001,200,3.0042
0.2555,0.0000,0.0000,0.0000,0.2554,0.0000,200,3.0041
0.1471,0.0000,0.0000,0.0000,0.1469,0.0001,200,4.0041
0.1472,0.0000,0.0000,0.0001,0.1470,0.0001,200,4.0041
0.2411,0.0000,0.0000,0.0001,0.2409,0.0001,200,4.0040
0.2461,0.0000,0.0000,0.0000,0.2460,0.0001,200,4.0042
