response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1386,0.0424,0.0014,0.0008,0.0952,0.0001,200,1.0040
0.1641,0.0426,0.0014,0.0001,0.1213,0.0001,200,1.0043
0.3378,0.0413,0.0014,0.0001,0.2963,0.0001,200,1.0042
0.3505,0.0433,0.0014,0.0000,0.3071,0.0001,200,1.0041
0.4790,0.0433,0.0007,0.0001,0.4356,0.0001,200,1.0047
0.4866,0.0754,0.0010,0.0000,0.4111,0.0001,200,1.0046
0.4971,0.0757,0.0012,0.0002,0.4211,0.0000,200,1.0044
0.5186,0.0748,0.0014,0.0000,0.4436,0.0001,200,1.0040
0.5321,0.0426,0.0014,0.0000,0.4894,0.0000,200,1.0043
0.5842,0.0758,0.0014,0.0001,0.5082,0.0000,200,1.0039
0.6598,0.1078,0.0011,0.0000,0.5518,0.0000,200,1.0044
0.7135,0.0412,0.0011,0.0001,0.6722,0.0001,200,1.0044
0.7149,0.0944,0.0010,0.0001,0.6203,0.0001,200,1.0044
0.7591,0.0954,0.0012,0.0000,0.6635,0.0001,200,1.0044
0.7689,0.1277,0.0014,0.0000,0.6411,0.0001,200,1.0042
0.7686,0.1087,0.0011,0.0000,0.6598,0.0000,200,1.0045
0.8973,0.0423,0.0014,0.0000,0.8549,0.0001,200,1.0043
0.9127,0.0757,0.0011,0.0000,0.8369,0.0001,200,1.0044
0.9451,0.0000,0.0011,0.0000,0.8069,0.0001,200,1.0045
0.9632,0.0768,0.0011,0.0000,0.8864,0.0001,200,1.0043
0.3434,0.0000,0.0000,0.0000,0.3433,0.0001,200,2.0040
0.3500,0.0000,0.0000,0.0000,0.3499,0.0000,200,2.0039
0.3550,0.0000,0.0000,0.0000,0.3549,0.0000,200,2.0042
0.3930,0.0000,0.0000,0.0000,0.3929,0.0000,200,2.0038
0.4343,0.0000,0.0000,0.0000,0.4342,0.0001,200,2.0041
0.4753,0.0000,0.0000,0.0000,0.4752,0.0001,200,2.0043
0.4956,0.0000,0.0000,0.0000,0.4956,0.0001,200,2.0042
0.5203,0.0000,0.0000,0.0000,0.5202,0.0000,200,2.0040
0.6375,0.0000,0.0000,0.0000,0.6374,0.0000,200,2.0040
0.6730,0.0000,0.0000,0.0000,0.6728,0.0001,200,2.0040
0.6841,0.0000,0.0000,0.0000,0.6840,0.0001,200,2.0042
0.6996,0.0000,0.0000,0.0000,0.6996,0.0001,200,2.0040
0.7036,0.0000,0.0000,0.0000,0.7035,0.0001,200,2.0039
0.7138,0.0000,0.0000,0.0000,0.7137,0.0001,200,2.0042
0.7461,0.0000,0.0000,0.0000,0.7460,0.0001,200,2.0040
0.9064,0.0000,0.0000,0.0000,0.9062,0.0001,200,2.0043
0.9180,0.0000,0.0000,0.0000,0.9178,0.0001,200,2.0042
0.9232,0.0000,0.0000,0.0000,0.9231,0.0001,200,2.0039
0.9835,0.0000,0.0000,0.0000,0.9834,0.0001,200,2.0041
1.0014,0.0000,0.0000,0.0000,1.0013,0.0000,200,2.0041
0.3195,0.0000,0.0000,0.0000,0.3194,0.0001,200,3.0040
0.3309,0.0000,0.0000,0.0000,0.3308,0.0001,200,3.0042
0.3693,0.0000,0.0000,0.0000,0.3692,0.0001,200,3.0044
0.3869,0.0000,0.0000,0.0000,0.3868,0.0001,200,3.0043
0.4124,0.0000,0.0000,0.0000,0.4123,0.0001,200,3.0041
0.4129,0.0000,0.0000,0.0000,0.4128,0.0001,200,3.0042
0.4493,0.0000,0.0000,0.0000,0.4492,0.0001,200,3.0042
0.5536,0.0000,0.0000,0.0000,0.5536,0.0001,200,3.0044
0.6088,0.0000,0.0000,0.0000,0.6087,0.0001,200,3.0042
0.6755,0.0000,0.0000,0.0000,0.6754,0.0001,200,3.0043
0.7342,0.0000,0.0000,0.0000,0.7341,0.0001,200,3.0055
0.7511,0.0000,0.0000,0.0001,0.7509,0.0001,200,3.0041
0.7511,0.0000,0.0000,0.0000,0.7508,0.0001,200,3.0041
0.7564,0.0000,0.0000,0.0000,0.7562,0.0001,200,3.0043
0.7683,0.0000,0.0000,0.0000,0.7682,0.0001,200,3.0041
0.8043,0.0000,0.0000,0.0000,0.8041,0.0001,200,3.0044
0.9273,0.0000,0.0000,0.0000,0.9272,0.0001,200,3.0042
0.9538,0.0000,0.0000,0.0000,0.9537,0.0000,200,3.0041
0.9777,0.0000,0.0000,0.0000,0.9775,0.0001,200,3.0043
0.9882,0.0000,0.0000,0.0000,0.9881,0.0001,200,3.0043
0.2348,0.0000,0.0000,0.0000,0.2347,0.0001,200,4.0041
0.3375,0.0000,0.0000,0.0000,0.3374,0.0001,200,4.0040
0.3749,0.0000,0.0000,0.0000,0.3748,0.0001,200,4.0040
0.3875,0.0000,0.0000,0.0001,0.3872,0.0001,200,4.0040
